model num,web,"theta(0,0)","theta(0,1)","theta(0,2)","theta(0,3)","theta(1,0)","theta(1,1)","theta(1,2)","theta(1,3)",fibers,seed,iso
111,2.017891075,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,TRUE,0.5,0.5
112,2.719780157,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,TRUE,0.5,0.5
113,2.625377991,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,TRUE,0.5,0.5
114,2.218290868,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,TRUE,0.5,0.5
115,2.610621057,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,TRUE,0.5,0.5
116,1.067535206,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,TRUE,0.5,0.5
117,2.922010979,168.786421,168.786421,168.786421,168.786421,168.786421,168.786421,168.786421,168.786421,TRUE,0.5,0.5
118,1.260440937,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,TRUE,0.5,0.5
119,2.477577695,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,TRUE,0.5,0.5
120,2.385757451,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,TRUE,0.5,0.5
121,2.916941157,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,TRUE,0.5,0.5
122,1.278892445,128.564134,128.564134,128.564134,128.564134,128.564134,128.564134,128.564134,128.564134,TRUE,0.5,0.5
123,2.112687511,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,TRUE,0.5,0.5
124,2.822344647,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,TRUE,0.5,0.5
125,2.27328801,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,TRUE,0.5,0.5
126,1.679725037,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,TRUE,0.5,0.5
127,1.942658244,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,TRUE,0.5,0.5
128,2.832302212,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,TRUE,0.5,0.5
129,2.099485847,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,TRUE,0.5,0.5
130,2.190663469,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,TRUE,0.5,0.5
131,2.864983599,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,TRUE,0.5,0.5
132,2.674818027,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,TRUE,0.5,0.5
133,2.458027666,122.412588,122.412588,122.412588,122.412588,122.412588,122.412588,122.412588,122.412588,TRUE,0.5,0.5
134,1.403142153,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,TRUE,0.5,0.5
135,2.200116557,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,TRUE,0.5,0.5
136,1.430077083,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,TRUE,0.5,0.5
137,2.166687636,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,TRUE,0.5,0.5
138,1.182952575,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,TRUE,0.5,0.5
139,1.950250845,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,TRUE,0.5,0.5
140,1.741464996,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,TRUE,0.5,0.5
141,1.421031356,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,TRUE,0.5,0.5
142,1.511021715,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,TRUE,0.5,0.5
143,1.253561447,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,TRUE,0.5,0.5
144,2.909613211,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,TRUE,0.5,0.5
145,1.112958415,130.793683,130.793683,130.793683,130.793683,130.793683,130.793683,130.793683,130.793683,TRUE,0.5,0.5
146,2.842501045,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,TRUE,0.5,0.5
147,2.46148553,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,TRUE,0.5,0.5
148,1.932751434,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,TRUE,0.5,0.5
149,1.311343879,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,TRUE,0.5,0.5
150,1.360268361,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,TRUE,0.5,0.5
151,1.036175023,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,TRUE,0.5,0.5
152,1.357947748,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,TRUE,0.5,0.5
153,1.143536017,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,TRUE,0.5,0.5
154,2.15202142,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,TRUE,0.5,0.5
155,1.295145998,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,TRUE,0.5,0.5
156,1.380584036,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,TRUE,0.5,0.5
157,1.76974535,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,TRUE,0.5,0.5
158,2.130667515,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,TRUE,0.5,0.5
159,2.241632339,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,TRUE,0.5,0.5
160,1.981927665,94.736936,94.736936,94.736936,94.736936,94.736936,94.736936,94.736936,94.736936,TRUE,0.5,0.5
161,1.612647182,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,TRUE,0.5,0.5
162,2.409323559,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,TRUE,0.5,0.5
163,2.578425186,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,TRUE,0.5,0.5
164,2.589823712,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,TRUE,0.5,0.5
165,2.708987294,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,TRUE,0.5,0.5
166,1.306999005,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,TRUE,0.5,0.5
167,2.552314439,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,TRUE,0.5,0.5
168,2.296512454,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,TRUE,0.5,0.5
169,2.109433729,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,TRUE,0.5,0.5
170,1.863617579,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,TRUE,0.5,0.5
171,2.258903693,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,TRUE,0.5,0.5
172,1.32216742,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,TRUE,0.5,0.5
173,1.961152736,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,TRUE,0.5,0.5
174,2.723774699,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,TRUE,0.5,0.5
175,2.231483928,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,TRUE,0.5,0.5
176,1.630406327,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,TRUE,0.5,0.5
177,1.197301949,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,TRUE,0.5,0.5
178,1.152833939,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,TRUE,0.5,0.5
179,1.521744429,102.236325,102.236325,102.236325,102.236325,102.236325,102.236325,102.236325,102.236325,TRUE,0.5,0.5
180,1.808312951,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,TRUE,0.5,0.5
181,1.109690258,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,TRUE,0.5,0.5
182,2.896635722,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,TRUE,0.5,0.5
183,2.146906882,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,TRUE,0.5,0.5
184,1.738103755,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,TRUE,0.5,0.5
185,1.922662085,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,TRUE,0.5,0.5
186,2.854410783,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,TRUE,0.5,0.5
187,2.754887177,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,TRUE,0.5,0.5
188,1.689923538,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,TRUE,0.5,0.5
189,2.28881826,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,TRUE,0.5,0.5
190,2.639874322,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,TRUE,0.5,0.5
191,2.975946507,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,TRUE,0.5,0.5
192,1.418343271,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,TRUE,0.5,0.5
193,2.396511135,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,TRUE,0.5,0.5
194,2.267754846,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,TRUE,0.5,0.5
195,2.072377264,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,TRUE,0.5,0.5
196,1.072479133,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,TRUE,0.5,0.5
197,2.879698569,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,TRUE,0.5,0.5
198,1.91158861,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,TRUE,0.5,0.5
199,2.95241015,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,TRUE,0.5,0.5
200,1.221292634,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,TRUE,0.5,0.5
201,1.589228976,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,TRUE,0.5,0.5
202,1.130482362,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,TRUE,0.5,0.5
